mceliece
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
h8bobcat,2,1650,160164,117708,3219870,604,581,603,609,659
h8bobcat,2,1650,348798,219468,5662083,604,581,603,609,659
h9trinity,2,2000,99195,88125,749086,604,581,603,609,659
h9trinity,2,2000,225138,153118,3732285,604,581,603,609,659
hydra1,6,3200,177045,173806,9205659,604,581,603,609,659
hydra1,6,3200,187870,191570,9421741,604,581,603,609,659
hydra2,4,2400,91584,74892,763336,604,581,603,609,659
hydra2,4,2400,205376,139636,6297004,604,581,603,609,659
hydra3,6,3300,147995,110421,3980836,604,581,603,609,659
hydra3,6,3300,312462,188807,4413573,604,581,603,609,659
hydra4,4,2600,143520,108486,3933704,604,581,603,609,659
hydra4,4,2600,294474,182594,4260812,604,581,603,609,659
hydra5,4,2900,144586,108128,3934851,604,581,603,609,659
hydra5,4,2900,327427,198631,4722623,604,581,603,609,659
hydra6,4,3100,202715,208946,11567990,604,581,603,609,659
hydra6,4,3100,213784,229904,13028379,604,581,603,609,659
hydra7,4,3100,76740,71504,674812,604,581,603,609,659
hydra7,4,3100,163960,121364,3056192,604,581,603,609,659
hydra8,4,3500,70196,64416,596128,604,581,603,609,659
hydra8,4,3500,151484,112276,3045752,604,581,603,609,659
hydra9,2,3800,102432,87670,756813,604,581,603,609,659
hydra9,2,3800,224732,152450,3731605,604,581,603,609,659
jos,4,2494,120975,94005,958980,604,581,603,609,659
jos,4,2494,288473,182722,4287735,604,581,603,609,659
mangetsu,4,3100,75292,71124,631232,604,581,603,609,659
morningstar,4,3200,195764,131447,3321547,604,581,603,609,659
sachr,2,1700,259725,239438,9350485,604,581,603,609,659
skylake,4,3310,50272,52028,470766,604,581,603,609,659
titan0,4,3500,57008,54940,490352,604,581,603,609,659
titan0,4,3500,137932,106292,1150508,604,581,603,609,659
utrecht,4,2405,182871,176526,9902862,604,581,603,609,659
utrecht,4,2405,190593,192015,9660996,604,581,603,609,659
ntruees593ep1
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
auxplug,1,1200,8090184,4119318,73653246,816,793,794,821,891
bigmem,32,2266,118830,97229,1108754,816,793,794,821,891
cryptologic,12,3325,281549,244197,17694864,816,793,794,821,891
cryptologic,12,3325,297412,268003,17757988,816,793,794,821,891
enigma,4,2399,276957,233163,17896203,816,793,794,821,891
flops,1,720,784270,541583,39512522,816,793,794,821,891
gcc14,8,2992,383652,244539,6934824,816,793,794,821,891
gcc14,8,2992,479187,293544,8199630,816,793,794,821,891
gcc16,8,2194,306642,200434,6265470,816,793,794,821,891
gcc16,8,2194,508422,315823,8649639,816,793,794,821,891
h1mips,1,720,1181046,899628,53766702,816,793,794,821,891
h2atom,1,1000,316180,225660,3222150,816,793,794,821,891
h2atom,1,1000,624070,379420,28474730,816,793,794,821,891
h2tegra,2,1000,4903203,2622709,101605327,816,793,794,821,891
h3neo,1,1700,224603,165354,7062842,816,793,794,821,891
h3neo,1,1700,498882,296059,7953261,816,793,794,821,891
h4e350,2,1600,240717,168270,5769168,816,793,794,821,891
h4e350,2,1600,549648,332976,10086576,816,793,794,821,891
h4e450,2,1650,243846,168498,5773584,816,793,794,821,891
h4e450,2,1650,548046,333813,10091049,816,793,794,821,891
h4mx515e,1,800,759723,543689,45539643,816,793,794,821,891
h5nano,1,1000,214500,154005,2996910,816,793,794,821,891
h5nano,1,1000,474140,293855,15210720,816,793,794,821,891
h6dragon,2,1782,659499,396062,8175886,816,793,794,821,891
h7beagle,1,720,782896,540092,39528087,816,793,794,821,891
h7green,1,1200,4511455122554880,2563068978528256,86798067826688000,3504693313536,3504693313513,417432166369139,821,891
h8atom,2,1866,323456,230517,3050019,816,793,794,821,891
h8atom,2,1866,618702,378875,28340487,816,793,794,821,891
h8bobcat,2,1650,240378,169242,5766684,816,793,794,821,891
h8bobcat,2,1650,549348,334533,10098456,816,793,794,821,891
h9trinity,2,2000,140783,117905,1235822,816,793,794,821,891
h9trinity,2,2000,353946,228973,5904696,816,793,794,821,891
hydra1,6,3200,278733,238728,16524875,816,793,794,821,891
hydra1,6,3200,287861,256260,16925256,816,793,794,821,891
hydra2,4,2400,134492,108116,1314072,816,793,794,821,891
hydra2,4,2400,311648,203764,11352800,816,793,794,821,891
hydra3,6,3300,224188,165210,7092579,816,793,794,821,891
hydra3,6,3300,497780,296988,7985482,816,793,794,821,891
hydra4,4,2600,220732,162065,7022746,816,793,794,821,891
hydra4,4,2600,462782,283385,7721126,816,793,794,821,891
hydra5,4,2900,246220,178879,7809975,816,793,794,821,891
hydra5,4,2900,515942,309807,8540525,816,793,794,821,891
hydra6,4,3100,311151,282058,22207044,816,793,794,821,891
hydra6,4,3100,327981,305847,19359213,816,793,794,821,891
hydra7,4,3100,104752,99732,1124980,816,793,794,821,891
hydra7,4,3100,255860,179324,5362428,816,793,794,821,891
hydra8,4,3500,100108,88436,982176,816,793,794,821,891
hydra8,4,3500,237488,166752,5397824,816,793,794,821,891
hydra9,2,3800,141529,118200,1239497,816,793,794,821,891
hydra9,2,3800,356536,229314,5928044,816,793,794,821,891
jos,4,2494,171802,131633,1626285,816,793,794,821,891
jos,4,2494,445905,277163,7581968,816,793,794,821,891
mangetsu,4,3100,106504,99332,1048420,816,793,794,821,891
morningstar,4,3200,298942,194640,5903782,816,793,794,821,891
sachr,2,1700,416159,331945,16834258,816,793,794,821,891
skylake,4,3310,74956,74858,777314,816,793,794,821,891
titan0,4,3500,83516,77552,804444,816,793,794,821,891
titan0,4,3500,212440,153928,1928780,816,793,794,821,891
utrecht,4,2405,276165,233532,17919315,816,793,794,821,891
utrecht,4,2405,288765,252693,16544349,816,793,794,821,891
ntruees743ep1
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
auxplug,1,1200,13151364,6704244,113269746,1022,999,980,1027,1120
bigmem,32,2266,155105,122870,1609237,1022,999,980,1027,1120
cryptologic,12,3325,394415,320864,27708082,1022,999,980,1027,1120
cryptologic,12,3325,423757,346612,27765767,1022,999,980,1027,1120
enigma,4,2399,403758,314334,27917496,1022,999,980,1027,1120
flops,1,720,1221407,778334,61872927,1022,999,980,1027,1120
gcc14,8,2992,620559,361044,10968516,1022,999,980,1027,1120
gcc14,8,2992,768078,438498,12902256,1022,999,980,1027,1120
gcc16,8,2194,472862,289276,9836800,1022,999,980,1027,1120
gcc16,8,2194,809804,469453,13231464,1022,999,980,1027,1120
h1mips,1,720,1785176,1243298,92775360,1022,999,980,1027,1120
h2atom,1,1000,432240,297470,4864280,1022,999,980,1027,1120
h2atom,1,1000,940620,545000,44462770,1022,999,980,1027,1120
h2tegra,2,1000,7847447,4132989,160055424,1022,999,980,1027,1120
h3neo,1,1700,319519,222475,10948211,1022,999,980,1027,1120
h3neo,1,1700,792438,449362,12112387,1022,999,980,1027,1120
h4e350,2,1600,325722,222687,8811351,1022,999,980,1027,1120
h4e350,2,1600,839367,489114,15660699,1022,999,980,1027,1120
h4e450,2,1650,329586,222504,8812305,1022,999,980,1027,1120
h4e450,2,1650,836952,484113,32586054,1022,999,980,1027,1120
h4mx515e,1,800,1224971,799442,71771210,1022,999,980,1027,1120
h5nano,1,1000,286875,199495,4484765,1022,999,980,1027,1120
h5nano,1,1000,736930,432160,23693665,1022,999,980,1027,1120
h6dragon,2,1782,974256,558904,15590411,1022,999,980,1027,1120
h7beagle,1,720,1221241,778540,61891695,1022,999,980,1027,1120
h7green,1,1200,7092777712091136,3907934908055552,135757929042149376,4389456576512,4389456576489,418231030286195,1027,1120
h8atom,2,1866,445487,304780,5132568,1022,999,980,1027,1120
h8atom,2,1866,966497,555611,45500420,1022,999,980,1027,1120
h8bobcat,2,1650,327966,222018,8812548,1022,999,980,1027,1120
h8bobcat,2,1650,844647,493479,15704637,1022,999,980,1027,1120
h9trinity,2,2000,188624,150770,1799806,1022,999,980,1027,1120
h9trinity,2,2000,525554,325419,9160651,1022,999,980,1027,1120
hydra1,6,3200,416069,324787,25746484,1022,999,980,1027,1120
hydra1,6,3200,430256,346323,26072686,1022,999,980,1027,1120
hydra2,4,2400,175540,138068,1954504,1022,999,980,1027,1120
hydra2,4,2400,468172,291632,17958840,1022,999,980,1027,1120
hydra3,6,3300,319575,223828,10951106,1022,999,980,1027,1120
hydra3,6,3300,790099,449587,12128102,1022,999,980,1027,1120
hydra4,4,2600,318045,219964,10899478,1022,999,980,1027,1120
hydra4,4,2600,748102,427635,11932577,1022,999,980,1027,1120
hydra5,4,2900,318623,225467,10921014,1022,999,980,1027,1120
hydra5,4,2900,834628,465828,13231797,1022,999,980,1027,1120
hydra6,4,3100,461716,381079,32532082,1022,999,980,1027,1120
hydra6,4,3100,488740,410612,30272276,1022,999,980,1027,1120
hydra7,4,3100,146680,125452,1651324,1022,999,980,1027,1120
hydra7,4,3100,383556,251848,8587328,1022,999,980,1027,1120
hydra8,4,3500,133016,112200,1437344,1022,999,980,1027,1120
hydra8,4,3500,361332,237148,8511008,1022,999,980,1027,1120
hydra9,2,3800,186668,150006,1801544,1022,999,980,1027,1120
hydra9,2,3800,524838,325209,9167247,1022,999,980,1027,1120
jos,4,2494,231172,168195,2503207,1022,999,980,1027,1120
jos,4,2494,719745,415193,11937518,1022,999,980,1027,1120
mangetsu,4,3100,139352,125588,1517160,1022,999,980,1027,1120
morningstar,4,3200,465294,283165,9209123,1022,999,980,1027,1120
sachr,2,1700,630489,458760,26221421,1022,999,980,1027,1120
skylake,4,3310,100618,95344,1132732,1022,999,980,1027,1120
titan0,4,3500,110368,98904,1170260,1022,999,980,1027,1120
titan0,4,3500,325824,218596,2897708,1022,999,980,1027,1120
utrecht,4,2405,406818,315450,27935172,1022,999,980,1027,1120
utrecht,4,2405,425646,341532,25785972,1022,999,980,1027,1120
ntruees787ep1
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
auxplug,1,1200,3836136,2054538,468343296,1574,1551,1573,1574,1854
bigmem,32,2266,576218,335673,61980246,1574,1551,1573,1574,1854
cryptologic,12,3325,579234,345264,69533746,1574,1551,1573,1574,1854
cryptologic,12,3325,612846,369066,70716638,1574,1551,1573,1574,1854
enigma,4,2399,643689,374526,78916419,1574,1551,1573,1574,1854
floodyberry,2,2500,411725,265138,62005225,1574,1551,1573,1574,1854
floodyberry,2,2500,421700,255450,58926225,1574,1551,1573,1574,1854
flops,1,720,1642239,883084,199794618,1574,1551,1573,1574,1854
gcc14,8,2992,592245,352224,66762873,1574,1551,1573,1574,1854
gcc14,8,2992,648828,389880,70054110,1574,1551,1573,1574,1854
gcc16,8,2194,678809,386281,128879661,1574,1551,1573,1574,1854
gcc16,8,2194,705512,408353,128989143,1574,1551,1573,1574,1854
h1mips,1,720,3081324,1714792,185611648,1574,1551,1573,1574,1854
h2atom,1,1000,1487430,841820,214832010,1574,1551,1573,1574,1854
h2atom,1,1000,1499080,841960,216847760,1574,1551,1573,1574,1854
h2tegra,2,1000,9316978,4921731,546579871,1574,1551,1573,1574,1854
h3atom,1,1330,1521090,858940,217709370,1574,1551,1573,1574,1854
h3neo,1,1700,685333,385805,121140186,1574,1551,1573,1574,1854
h3neo,1,1700,704582,396792,122159382,1574,1551,1573,1574,1854
h4atom,1,1330,1486200,840032,214608016,1574,1551,1573,1574,1854
h4atom,1,1330,1499104,842240,216728936,1574,1551,1573,1574,1854
h4e350,2,1600,1004979,564708,161871732,1574,1551,1573,1574,1854
h4e350,2,1600,992985,568854,178995831,1574,1551,1573,1574,1854
h4e450,2,1650,956862,542109,161927379,1574,1551,1573,1574,1854
h4e450,2,1650,995157,568701,179005611,1574,1551,1573,1574,1854
h4mx515e,1,800,1775975,939583,423020941,1574,1551,1573,1574,1854
h5nano,1,1000,882215,512010,95137200,1574,1551,1573,1574,1854
h5nano,1,1000,910115,532390,94458745,1574,1551,1573,1574,1854
h6dragon,2,1782,1799583,991681,229993530,1574,1551,1573,1574,1854
h6sandy,2,2100,614660,366140,53167196,1574,1551,1573,1574,1854
h6sandy,2,2100,713284,421356,77168488,1574,1551,1573,1574,1854
h7beagle,1,720,1642203,883462,199801884,1574,1551,1573,1574,1854
h7green,1,1200,1613564,870364,206549752,1574,1551,1573,1574,1854
h8atom,2,1866,1599010,873929,197996428,1574,1551,1573,1574,1854
h8atom,2,1866,1498084,841337,215186580,1574,1551,1573,1574,1854
h8bobcat,2,1650,1106205,609075,170093229,1574,1551,1573,1574,1854
h8bobcat,2,1650,999189,575064,175671831,1574,1551,1573,1574,1854
h9ivy,2,2500,678736,388428,75019444,1574,1551,1573,1574,1854
h9ivy,2,2500,691960,410988,89153804,1574,1551,1573,1574,1854
h9trinity,2,2000,737124,421972,90922582,1574,1551,1573,1574,1854
h9trinity,2,2000,761604,454006,89308353,1574,1551,1573,1574,1854
hydra1,6,3200,684838,384363,120532363,1574,1551,1573,1574,1854
hydra1,6,3200,702202,405523,118787758,1574,1551,1573,1574,1854
hydra2,4,2400,692596,401300,72671932,1574,1551,1573,1574,1854
hydra2,4,2400,705548,418632,71946452,1574,1551,1573,1574,1854
hydra3,6,3300,685031,384549,120709771,1574,1551,1573,1574,1854
hydra3,6,3300,706023,403169,118512955,1574,1551,1573,1574,1854
hydra4,4,2600,610143,354295,69192439,1574,1551,1573,1574,1854
hydra4,4,2600,623239,370796,67916784,1574,1551,1573,1574,1854
hydra5,4,2900,680449,394905,76843622,1574,1551,1573,1574,1854
hydra5,4,2900,623765,371427,68048969,1574,1551,1573,1574,1854
hydra6,4,3100,781102,454980,110831876,1574,1551,1573,1574,1854
hydra6,4,3100,801323,477168,109087746,1574,1551,1573,1574,1854
hydra7,4,3100,700668,406884,77690816,1574,1551,1573,1574,1854
hydra7,4,3100,706212,418064,77635252,1574,1551,1573,1574,1854
hydra8,4,3500,680872,388600,75029272,1574,1551,1573,1574,1854
hydra8,4,3500,688540,404736,73694004,1574,1551,1573,1574,1854
hydra9,2,3800,737270,422591,90898524,1574,1551,1573,1574,1854
hydra9,2,3800,761450,454170,89477114,1574,1551,1573,1574,1854
jos,4,2494,626925,367898,65349172,1574,1551,1573,1574,1854
jos,4,2494,689872,409845,65062755,1574,1551,1573,1574,1854
mangetsu,4,3100,612504,369748,49047884,1574,1551,1573,1574,1854
morningstar,4,3200,676272,383643,123256601,1574,1551,1573,1574,1854
orpheus,1,448,1110434,646600,140982862,1574,1551,1573,1574,1854
sachr,2,1700,962777,543297,169694414,1574,1551,1573,1574,1854
skylake,4,3310,161524,132434,35193822,1574,1551,1573,1574,1854
titan0,4,3500,176664,134136,41583080,1574,1551,1573,1574,1854
titan0,4,3500,582380,346320,73671916,1574,1551,1573,1574,1854
utrecht,4,2405,649575,374130,79102179,1574,1551,1573,1574,1854
utrecht,4,2405,660150,389781,78907824,1574,1551,1573,1574,1854
wintermute,4,3400,474468,289028,44575472,1574,1551,1573,1574,1854
ronald1024
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
bigmem,32,2266,1830277,57579,68931850,128,105,75,128,1024
cryptologic,12,3325,2076191,70333,66035403,128,105,75,128,1024
floodyberry,2,2500,1744900,61888,76255488,128,105,75,128,1024
floodyberry,2,2500,12860688,222075,313640563,128,105,75,128,1024
flops,1,720,7884259,238282,592903218,128,105,75,128,1024
gcc14,8,2992,2974275,84852,85866606,128,105,75,128,1024
gcc14,8,2992,6400395,134208,175249260,128,105,75,128,1024
gcc16,8,2194,2092269,70196,143772959,128,105,75,128,1024
h1mips,1,720,19690608,440708,507672108,128,105,75,128,1024
h2tegra,2,1000,6558599,216461,731774704,128,105,75,128,1024
h3atom,1,1330,13182380,317420,282950890,128,105,75,128,1024
h3neo,1,1700,1573996,59772,82173323,128,105,75,128,1024
h4atom,1,1330,5248856,165008,239492224,128,105,75,128,1024
h4e350,2,1600,2172606,83547,137335908,128,105,75,128,1024
h4mx515e,1,800,14657455,311120,1308751584,128,105,75,128,1024
h5nano,1,1000,2015340,72370,224351000,128,105,75,128,1024
h6dragon,2,1782,7602092,283778,668800611,128,105,75,128,1024
h6sandy,2,2100,1402260,49512,62529504,128,105,75,128,1024
h7beagle,1,720,7899285,240709,607446916,128,105,75,128,1024
h7green,1,1200,30080473472434176,965238065201152,2492751267152003072,549755813888,549755813865,414344084883315,128,1024
h8atom,2,1866,5151468,162323,244086710,128,105,75,128,1024
h8bobcat,2,1650,2162088,87114,138593643,128,105,75,128,1024
h9ivy,2,2500,1313324,45984,58456188,128,105,75,128,1024
h9trinity,2,2000,1657965,65379,76780927,128,105,75,128,1024
hydra2,4,2400,1623844,60556,74123204,128,105,75,128,1024
hydra3,6,3300,1572188,58458,89977525,128,105,75,128,1024
hydra6,4,3100,1790358,68423,76528367,128,105,75,128,1024
hydra7,4,3100,1406120,49556,51691756,128,105,75,128,1024
hydra8,4,3500,1321844,46804,57115076,128,105,75,128,1024
hydra9,2,3800,1669936,64858,71889659,128,105,75,128,1024
morningstar,4,3200,1556088,59361,94615619,128,105,75,128,1024
sachr,2,1700,5439136,161435,465923194,128,105,75,128,1024
skylake,4,3310,839214,35608,59322248,128,105,75,128,1024
titan0,4,3500,1185244,41188,52669288,128,105,75,128,1024
utrecht,4,2405,2346750,71091,94041450,128,105,75,128,1024
utrecht,4,2405,6220341,129222,164001195,128,105,75,128,1024
wintermute,4,3400,1413532,66860,48150376,128,105,75,128,1024
ronald1536
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
bigmem,32,2266,4552594,86921,173957076,192,169,75,192,1536
cryptologic,12,3325,5092115,105664,206770491,192,169,75,192,1536
floodyberry,2,2500,4130313,93525,184118987,192,169,75,192,1536
floodyberry,2,2500,36067725,424975,844996863,192,169,75,192,1536
flops,1,720,20889681,394800,1125494692,192,169,75,192,1536
gcc14,8,2992,7781202,132552,275275899,192,169,75,192,1536
gcc14,8,2992,16387506,222912,476900010,192,169,75,192,1536
gcc16,8,2194,4818340,99968,265611357,192,169,75,192,1536
h1mips,1,720,50456504,761448,1895049760,192,169,75,192,1536
h2tegra,2,1000,17779805,349195,1822421256,192,169,75,192,1536
h3atom,1,1330,37522460,554690,1110661570,192,169,75,192,1536
h3neo,1,1700,3513647,83083,230132903,192,169,75,192,1536
h4atom,1,1330,13291528,254088,673629864,192,169,75,192,1536
h4e350,2,1600,4856712,116499,366801540,192,169,75,192,1536
h4mx515e,1,800,34783712,534527,3249783428,192,169,75,192,1536
h5nano,1,1000,4536285,108575,467403795,192,169,75,192,1536
h6dragon,2,1782,19544017,451314,1682653229,192,169,75,192,1536
h6sandy,2,2100,3190852,70692,186187540,192,169,75,192,1536
h7beagle,1,720,20848660,390715,1717993754,192,169,75,192,1536
h7green,1,1200,79087974465142784,1526946773073920,3168939098484244480,824633720832,824633720809,414344084883315,192,1536
h8atom,2,1866,13074180,247842,670927866,192,169,75,192,1536
h8bobcat,2,1650,4858008,118143,346084125,192,169,75,192,1536
h9ivy,2,2500,2979140,67572,153944064,192,169,75,192,1536
h9trinity,2,2000,3882832,91608,171942388,192,169,75,192,1536
hydra2,4,2400,3860544,87884,199817768,192,169,75,192,1536
hydra3,6,3300,3498995,83685,208147589,192,169,75,192,1536
hydra6,4,3100,4213004,94741,274883550,192,169,75,192,1536
hydra7,4,3100,3181200,71916,165733588,192,169,75,192,1536
hydra8,4,3500,2974096,66540,157062924,192,169,75,192,1536
hydra9,2,3800,3878673,93274,179098059,192,169,75,192,1536
morningstar,4,3200,3495176,83756,241478264,192,169,75,192,1536
sachr,2,1700,12852439,255029,1337730714,192,169,75,192,1536
skylake,4,3310,2208036,50874,132216480,192,169,75,192,1536
titan0,4,3500,2672440,58168,173607980,192,169,75,192,1536
utrecht,4,2405,5744322,107613,244684503,192,169,75,192,1536
utrecht,4,2405,16060716,215730,459104670,192,169,75,192,1536
wintermute,4,3400,3000540,95652,153646200,192,169,75,192,1536
ronald2048
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
bigmem,32,2266,9220571,124448,389520980,256,233,75,256,2048
cryptologic,12,3325,10331724,155527,533632603,256,233,75,256,2048
floodyberry,2,2500,8137875,133850,368294062,256,233,75,256,2048
floodyberry,2,2500,79149888,675088,2533839625,256,233,75,256,2048
flops,1,720,44017213,603864,3267274005,256,233,75,256,2048
gcc14,8,2992,14367267,178470,594245358,256,233,75,256,2048
gcc14,8,2992,31418271,317070,1404157266,256,233,75,256,2048
gcc16,8,2194,9925661,138265,652430655,256,233,75,256,2048
h1mips,1,720,108752044,1119802,4676722736,256,233,75,256,2048
h2tegra,2,1000,37377222,532167,3416292122,256,233,75,256,2048
